unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
,Goma de Mascar TRIDENT Splash Yerbabuena Bolsa 17.1g,S/ 3.60,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,17.1,g,Goma de Mascar TRIDENT Splash Yerbabuena Bolsa,3.6,vivanda,TRIDENT,GOMA DE MASCAR
Bolsa 17.1g,Goma de Mascar TRIDENT Splash Fresa Bolsa 17.1...,S/ 3.60 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,17.1,g,Goma de Mascar TRIDENT Splash Fresa Bolsa 17.1,3.6,plaza_vea,,GOMA DE MASCAR
,Goma de Mascar TRIDENT Splash Menta Bolsa 17.1g,S/ 3.60,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,17.1,g,Goma de Mascar TRIDENT Splash Menta Bolsa,3.6,vivanda,TRIDENT,GOMA DE MASCAR
,Gomitas FINI Gusanos Ácidos Bolsa 90gr,S/ 4.20,vega,GOMA DE MASCAR,2024-12-05 13:10:16.201094,90.0,g,Gomitas FINI Gusanos Ácidos Bolsa r,4.2,vega,Fini,GOMA DE MASCAR
,Masticable Re galiz FINI Tutti Frutti Ácido Bolsa 80 g,S/ 4.20,vega,GOMA DE MASCAR,2024-12-05 13:10:16.201094,80.0,g,Masticable Re galiz FINI Tutti Frutti Ácido Bolsa,4.2,vega,Fini,GOMA DE MASCAR
,Gomas FINI Regaliz Twister Ácido Bolsa 80gr,S/ 4.20,vega,GOMA DE MASCAR,2024-12-05 13:10:16.201094,80.0,g,Gomas FINI Regaliz Twister Ácido Bolsa r,4.2,vega,Fini,GOMA DE MASCAR
,Masticable Re galiz FINI Fresa Ácida Bolsa 80 g,S/ 4.20,vega,GOMA DE MASCAR,2024-12-05 13:10:16.201094,80.0,g,Masticable Re galiz FINI Fresa Ácida Bolsa,4.2,vega,Fini,GOMA DE MASCAR
,Gomas FINI Flor Bolsa 80g,S/ 4.20,vega,GOMA DE MASCAR,2024-12-05 13:10:16.201094,80.0,g,Gomas FINI Flor Bolsa,4.2,vega,Fini,GOMA DE MASCAR
,Gomitas FINI Dentaduras Bolsa 90gr,S/ 4.20,vega,GOMA DE MASCAR,2024-12-05 13:10:16.201094,90.0,g,Gomitas FINI Dentaduras Bolsa r,4.2,vega,Fini,GOMA DE MASCAR
,Gomas FINI Sabor Mora Bolsa 90g,S/ 4.20,vega,GOMA DE MASCAR,2024-12-05 13:10:16.201094,90.0,g,Gomas FINI Sabor Mora Bolsa,4.2,vega,Fini,GOMA DE MASCAR
,Gomas FINI Sabor Fresa Ácido Bolsa 90g,S/ 4.20,vega,GOMA DE MASCAR,2024-12-05 13:10:16.201094,90.0,g,Gomas FINI Sabor Fresa Ácido Bolsa,4.2,vega,Fini,GOMA DE MASCAR
,Gomitas FINI Ositos Bolsa 90gr,S/ 4.20,vega,GOMA DE MASCAR,2024-12-05 13:10:16.201094,90.0,g,Gomitas FINI Ositos Bolsa r,4.2,vega,Fini,GOMA DE MASCAR
Bolsa 40g,Goma de Mascar HUBBA BUBBA Max Original Bolsa ...,S/ 5.50 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,40.0,g,Goma de Mascar HUBBA BUBBA Max Original Bolsa,5.5,plaza_vea,,GOMA DE MASCAR
Bolsa 40g,Goma de Mascar HUBBA BUBBA Max Fresa Sandia Bo...,S/ 5.50 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,40.0,g,Goma de Mascar HUBBA BUBBA Max Fresa Sandia Bo,5.5,plaza_vea,,GOMA DE MASCAR
Caja 14un,Goma de Mascar WRIGLEYS Orbit Verde Caja 14un,S/ 5.90 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,14.0,un,Goma de Mascar WRIGLEYS Orbit Verde Caja,5.9,plaza_vea,,GOMA DE MASCAR
Caja 26.6g,Goma de Mascar ORBIT Fresa Caja 26.6g,S/ 5.90 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,26.6,g,Goma de Mascar ORBIT Fresa Caja,5.9,plaza_vea,,GOMA DE MASCAR
,Goma de Mascar ORBIT Fresa Caja 26.6g,S/ 5.90,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,26.6,g,Goma de Mascar ORBIT Fresa Caja,5.9,vivanda,ORBIT,GOMA DE MASCAR
Caja 12un,Goma de Mascar WRIGLEYS Orbit Azul Caja 12un,S/ 5.90 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,12.0,un,Goma de Mascar WRIGLEYS Orbit Azul Caja,5.9,plaza_vea,,GOMA DE MASCAR
Caja 15un,Goma de Mascar WRIGLEY'S Doublemint Caja 15un,S/ 6 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,15.0,un,Goma de Mascar WRIGLEY'S Doublemint Caja,6.0,plaza_vea,,GOMA DE MASCAR
,Goma de Mascar WRIGLEYS Orbit Verde Caja 14un,S/ 6.70,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,14.0,un,Goma de Mascar WRIGLEYS Orbit Verde Caja,6.7,vivanda,WRIGLEY S,GOMA DE MASCAR
,Goma de Mascar WRIGLEYS Orbit Azul Caja 12un,S/ 6.70,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,12.0,un,Goma de Mascar WRIGLEYS Orbit Azul Caja,6.7,vivanda,WRIGLEY S,GOMA DE MASCAR
Envase 30g,Goma de Mascar MENTOS Frutos Rojos Envase 30g,S/ 8.30 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,30.0,g,Goma de Mascar MENTOS Frutos Rojos Envase,8.3,plaza_vea,,GOMA DE MASCAR
Frasco 30g,Goma de Mascar con Centro Líquido MENTOS Fresh...,S/ 8.30 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,30.0,g,Goma de Mascar con Centro Líquido MENTOS Fresh,8.3,plaza_vea,,GOMA DE MASCAR
Frasco 30g,Goma de Mascar con Centro Líquido MENTOS Spear...,S/ 8.30 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,30.0,g,Goma de Mascar con Centro Líquido MENTOS Spear,8.3,plaza_vea,,GOMA DE MASCAR
,Golosina ARCOR Masticable Frutas Bolsa 412 g,S/ 8.90,vega,GOMA DE MASCAR,2024-12-05 13:10:16.201094,412.0,g,Golosina ARCOR Masticable Frutas Bolsa,8.9,vega,Arcor,GOMA DE MASCAR
Empaque 44.6g,Goma de Mascar TRIDENT Fresa y Limón Empaque 4...,S/ 8.90 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,44.6,g,Goma de Mascar TRIDENT Fresa y Limón Empaque 4,8.9,plaza_vea,,GOMA DE MASCAR
,Goma de Mascar TRIDENT Menta Envase 45.5g,S/ 9.20,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,45.5,g,Goma de Mascar TRIDENT Menta Envase,9.2,vivanda,TRIDENT,GOMA DE MASCAR
,Goma de Mascar TRIDENT Yerbabuena Botella 45.5g,S/ 9.20,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,45.5,g,Goma de Mascar TRIDENT Yerbabuena Botella,9.2,vivanda,TRIDENT,GOMA DE MASCAR
,Gomas de mascar GROSSO Sabores Surtidos Bolsa 325g,S/ 9.90,vega,GOMA DE MASCAR,2024-12-05 13:10:16.201094,325.0,g,Gomas de mascar GROSSO Sabores Surtidos Bolsa,9.9,vega,Sapito,GOMA DE MASCAR
Envase de Plastico 56.7g,Goma de Mascar WRIGLEY S Hubba Bubba Envase 56...,S/ 10.90 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,56.7,g,Goma de Mascar WRIGLEY S Hubba Bubba Envase 56,10.9,plaza_vea,,GOMA DE MASCAR
,Goma de Mascar WRIGLEY S Hubba Bubba Envase 56.7g,S/ 12.60,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,56.7,g,Goma de Mascar WRIGLEY S Hubba Bubba Envase,12.6,vivanda,WRIGLEY S,GOMA DE MASCAR
,Goma de Mascar sin Azúcar TRIDENT Fresa y Limón 10un x17g,S/ 24.90,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,10.0,un,Goma de Mascar sin Azúcar TRIDENT Fresa y Limón  x,24.9,vivanda,TRIDENT,GOMA DE MASCAR
Paquete 12un,Goma de Mascar TRIDENT Evup Coolb Paquete 12un,S/ 32.90 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,12.0,un,Goma de Mascar TRIDENT Evup Coolb Paquete,32.9,plaza_vea,,GOMA DE MASCAR
,Goma de Mascar TRIDENT Evup Coolb Paquete 12un,S/ 32.90,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,12.0,un,Goma de Mascar TRIDENT Evup Coolb Paquete,32.9,vivanda,TRIDENT,GOMA DE MASCAR
Caja 12un,Goma de Mascar TRIDENT Sabor a Sandía Caja 12u...,S/ 32.90 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,12.0,un,Goma de Mascar TRIDENT Sabor a Sandía Caja 12u,32.9,plaza_vea,,GOMA DE MASCAR
,Goma de Mascar TRIDENT Sabor a Sandía Caja 12un,S/ 32.90,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,12.0,un,Goma de Mascar TRIDENT Sabor a Sandía Caja,32.9,vivanda,TRIDENT,GOMA DE MASCAR
Caja 12un,Goma de Mascar TRIDENT Evup Herbal Caja 12un,S/ 32.90 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,12.0,un,Goma de Mascar TRIDENT Evup Herbal Caja,32.9,plaza_vea,,GOMA DE MASCAR
Caja 12un,Goma de Mascar TRIDENT Evup Fresh Caja 12un,S/ 32.90 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,12.0,un,Goma de Mascar TRIDENT Evup Fresh Caja,32.9,plaza_vea,,GOMA DE MASCAR
,Goma de Mascar TRIDENT Evup Sabor a Mora Caja 18un,S/ 32.90,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,18.0,un,Goma de Mascar TRIDENT Evup Sabor a Mora Caja,32.9,vivanda,TRIDENT,GOMA DE MASCAR
Caja 18un,Goma de Mascar TRIDENT Evup Sabor a Mora Caja ...,S/ 32.90 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,18.0,un,Goma de Mascar TRIDENT Evup Sabor a Mora Caja,32.9,plaza_vea,,GOMA DE MASCAR
,Goma de Mascar sin Azúcar TRIDENT Menta 6 x45.5g,S/ 41.20,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,45.5,g,Goma de Mascar sin Azúcar TRIDENT Menta 6 x,41.2,vivanda,TRIDENT,GOMA DE MASCAR
,Goma de Mascar sin Azúcar TRIDENT Fresa 6un x45.5g,S/ 41.20,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,6.0,un,Goma de Mascar sin Azúcar TRIDENT Fresa  x,41.2,vivanda,TRIDENT,GOMA DE MASCAR
,Goma de Mascar TRIDENT Yerbabuena Caja 12un,S/ 43.30,vivanda,GOMA DE MASCAR,2024-12-05 22:22:15.203786,12.0,un,Goma de Mascar TRIDENT Yerbabuena Caja,43.3,vivanda,TRIDENT,GOMA DE MASCAR
Caja 12un,Goma de Mascar TRIDENT Yerbabuena Caja 12un,S/ 43.30 un,plaza_vea,GOMA DE MASCAR,2024-12-05 15:47:23.669798,12.0,un,Goma de Mascar TRIDENT Yerbabuena Caja,43.3,plaza_vea,,GOMA DE MASCAR
